source,title,link
Times of India,"Sonakshi Sinha Wears Upcycled Saree for Civil Marriage, Stuns in Banarasi for Reception!",https://timesofindia.indiatimes.com/videos/etimes/bollywood/sonakshi-sinha-wears-upcycled-saree-for-civil-marriage-stuns-in-banarasi-for-reception/videoshow/111218100.cms
Times of India,"Sonakshi Sinha and Zaheer Iqbal's Reception: From Anil Kapoor, Tabu To Aditi Rao Hydari and Raveena Tandon, Stars Who Made It To Celebrate",https://timesofindia.indiatimes.com/videos/etimes/bollywood/sonakshi-sinha-and-zaheer-iqbals-reception-from-anil-kapoor-tabu-to-aditi-rao-hydari-and-raveena-tandon-stars-who-made-it-to-celebrate/videoshow/111212459.cms
Times of India,"Sonakshi Sinha, Zaheer Iqbal's FIRST Pictures Are Out!",https://timesofindia.indiatimes.com/videos/etimes/bollywood/sonakshi-sinha-and-zaheer-iqbal-tie-the-knot-duo-breaks-the-pastel-wedding-trend/videoshow/111211072.cms
Times of India,DJ Ganesh Reveals Details Of Sonakshi Sinha-Zaheer Iqbal Wedding,https://timesofindia.indiatimes.com/videos/etimes/bollywood/sonakshi-zaheer-reception-extravaganza-dj-ganesh-dishes-on-the-nights-biggest-surprises/videoshow/111208939.cms
Times of India,SHOCKING! Darshan Thoogudeepa Aides Threaten Witnesses,https://timesofindia.indiatimes.com/videos/entertainment/regional/kannada/shocking-revelations-police-accuse-darshan-thoogudeepas-aides-of-witness-intimidation/videoshow/111207656.cms
Times of India,‘Memo confusion led to N Bengal Kanchanjungha Express accident’,https://timesofindia.indiatimes.com/city/kolkata/memo-confusion-led-to-north-bengal-kanchanjungha-express-accident/articleshow/111215176.cms
Times of India,Bigg Boss OTT 3: Confirmed list of contestants of Anil Kapoor hosted show Bigg Boss OTT 3,http://timesofindia.indiatimes.com/tv/news/hindi/bigg-boss-ott-3-contestants-list-with-photos-confirmed-list-of-contestants-of-bigg-boss-ott-3/photostory/111156147.cms
Times of India,12 fruits with the highest and lowest amounts of sugar,http://timesofindia.indiatimes.com/life-style/food-news/12-fruits-with-the-highest-and-lowest-amounts-of-sugar/photostory/111061190.cms
Times of India,How the habit of consuming papaya seeds daily can improve health,http://timesofindia.indiatimes.com/life-style/food-news/how-the-habit-of-consuming-papaya-seeds-daily-can-improve-health/photostory/111081125.cms
Times of India,"Sonakshi weds Zaheer: Sonakshi Sinha debuts sindoor look, stuns in red silk sari and gajra at wedding reception",http://timesofindia.indiatimes.com/life-style/fashion/celeb-style/sonakshi-weds-zaheer-sonakshi-sinha-debuts-sindoor-look-stuns-in-red-silk-sari-and-gajra-at-wedding-reception/photostory/111211451.cms
Times of India,5 common everyday mistakes that are responsible for weight gain,http://timesofindia.indiatimes.com/life-style/health-fitness/weight-loss/5-common-everyday-mistakes-that-are-responsible-for-weight-gain/photostory/111057758.cms
Times of India,The last train station of India where no train ever stops,http://timesofindia.indiatimes.com/etimes/trending/the-last-train-station-of-india-where-no-train-ever-stops/photostory/110977112.cms
Times of India,Benefits of walking barefoot in grass daily for 10 minutes,https://timesofindia.indiatimes.com/life-style/health-fitness/health-news/benefits-of-walking-barefoot-in-grass-daily-for-10-minutes/photostory/111226541.cms
Times of India,Revisiting Neha Kakkar's wedding lehenga,https://timesofindia.indiatimes.com/life-style/fashion/celeb-style/a-look-at-neha-kakkars-wedding-lehenga-which-was-a-gift-from-sabyasachi/photostory/110939004.cms
Times of India,Challenge: Find 3 hidden ducklings in less than 7 secs,https://timesofindia.indiatimes.com/life-style/relationships/love-sex/can-you-find-three-hidden-ducklings-in-this-engaging-optical-illusion-in-under-7-seconds/articleshow/111225893.cms
Times of India,Decoding bridal makeup looks of Sonakshi Sinha,https://timesofindia.indiatimes.com/life-style/beauty/web-stories/decoding-bridal-makeup-looks-of-sonakshi-sinha/photostory/111225319.cms
Times of India,How to stay closer to your child as they grow older,https://timesofindia.indiatimes.com/life-style/parenting/moments/how-to-stay-closer-to-your-child-as-they-grow-older/articleshow/111228031.cms
Times of India,10 must-have foods for women to build muscles,https://recipes.timesofindia.com/web-stories/10-must-have-foods-for-women-to-build-muscles/photostory/111222015.cms
Times of India,10 things you should never pack in your check-in luggage,https://timesofindia.indiatimes.com/travel/things-to-do/10-things-you-should-never-pack-in-your-check-in-luggage/articleshow/111225713.cms
Times of India,Mercury and Saturn in Trine on 26th June 2024: These Zodiac Signs Will Benefit Most,https://timesofindia.indiatimes.com/astrology/planets-transits/mercury-and-saturn-in-trine-on-26th-june-2024-these-zodiac-signs-will-benefit-most/articleshow/111219940.cms
Times of India,9 animals that can understand human emotions,https://timesofindia.indiatimes.com/life-style/spotlight/web-stories/9-animals-that-can-understand-human-emotions/photostory/111227102.cms
Times of India,Russia: Dagestan Attack Toll Mounts; Four Terrorists Killed In Counter-Terror Operations,https://timesofindia.indiatimes.com/videos/international/russia-dagestan-attack-toll-mounts-four-terrorists-killed-in-counter-terror-operations/videoshow/111225715.cms
Times of India,Russia: Dagestan Attack Toll Mounts; Four Terrorists Killed In Counter-Terror Operations,https://timesofindia.indiatimes.com/videos/international/russia-dagestan-attack-toll-mounts-four-terrorists-killed-in-counter-terror-operations/videoshow/111225715.cms
Times of India,Putin Blasts U.S. For Deadly Attack On Sevastopol After Ukraine Launches ATACMS Missiles At Crimea,https://timesofindia.indiatimes.com/videos/international/putin-blasts-u-s-for-deadly-attack-on-sevastopol-after-ukraine-launches-atacms-missiles-at-crimea/videoshow/111217814.cms
Times of India,NEET Row: Tharoor's Uttar Pradesh Jibe Irks BJP Netas; 'Insulting State...',https://timesofindia.indiatimes.com/videos/toi-original/neet-row-tharoors-uttar-pradesh-jibe-irks-bjp-netas-insulting-state-/videoshow/111212793.cms
